Niels;Daniel;Mina;Emma;Anton;Jess;Aleks;Sille;Round;t
3;0;2;0;2;2;0;3;2;0
3;0;3;0;2;2;0;2;2;1
2;0;3;0;3;2;0;2;2;2
2;0;2;0;3;2;0;3;2;3
2;1;2;0;2;2;0;3;2;4
2;1;2;0;2;2;1;2;2;5
1;2;2;0;2;2;1;2;2;6
1;3;1;0;2;2;1;2;2;7
1;2;2;0;2;2;1;2;2;8
1;2;2;0;2;2;2;1;2;9
1;2;2;0;2;1;3;1;2;10
2;2;2;0;2;1;2;1;2;11
2;2;1;0;2;2;2;1;2;12
3;2;1;0;2;2;1;1;2;13
4;2;1;0;2;2;0;1;2;14
4;2;1;0;2;1;0;2;2;15
3;2;1;0;2;1;1;2;2;16
4;2;1;0;2;1;1;1;2;17
4;2;0;0;3;1;1;1;2;18
3;2;0;1;3;1;1;1;2;19
4;2;0;1;3;0;1;1;2;20
4;1;0;1;3;0;2;1;2;21
3;2;0;1;3;0;2;1;2;22
3;1;0;1;3;0;3;1;2;23
3;2;0;1;2;0;3;1;2;24
3;2;1;1;2;0;2;1;2;25
3;2;1;1;2;0;1;2;2;26
2;2;2;1;2;0;1;2;2;27
2;2;1;1;2;0;1;3;2;28
2;3;1;1;2;0;1;2;2;29
1;3;1;1;2;1;1;2;2;30
1;3;2;1;1;1;1;2;2;31
1;2;2;1;1;2;1;2;2;32
1;2;1;1;1;2;1;3;2;33
2;1;1;1;1;2;1;3;2;34
2;1;1;2;1;2;1;2;2;35
2;1;1;2;1;1;2;2;2;36
2;1;1;3;1;1;1;2;2;37
2;1;2;3;1;1;1;1;2;38
2;1;1;3;2;1;1;1;2;39
2;1;1;3;1;2;1;1;2;40
2;0;1;4;1;2;1;1;2;41
2;0;1;3;1;2;1;2;2;42
2;0;1;4;1;2;1;1;2;43
2;0;1;3;1;2;2;1;2;44
2;1;1;2;1;2;2;1;2;45
2;1;1;2;2;2;1;1;2;46
2;1;1;1;2;2;1;2;2;47
1;1;1;1;2;3;1;2;2;48
1;1;1;1;2;2;2;2;2;49
1;1;2;1;2;1;2;2;2;50
1;1;2;1;2;1;3;1;2;51
0;1;3;1;2;1;3;1;2;52
0;1;2;1;2;1;4;1;2;53
0;1;3;1;2;1;3;1;2;54
0;2;2;1;2;1;3;1;2;55
0;2;2;1;2;1;2;2;2;56
0;2;1;2;2;1;2;2;2;57
0;1;1;2;3;1;2;2;2;58
1;1;0;2;3;1;2;2;2;59
1;1;0;2;3;2;1;2;2;60
1;1;1;1;3;2;1;2;2;61
1;0;1;1;4;2;1;2;2;62
1;0;1;1;5;1;1;2;2;63
1;0;1;1;6;0;1;2;2;64
1;0;1;2;5;0;1;2;2;65
2;0;1;2;5;0;0;2;2;66
2;0;2;2;4;0;0;2;2;67
2;1;2;2;3;0;0;2;2;68
2;1;2;2;2;0;1;2;2;69
2;1;1;2;2;0;1;3;2;70
2;0;1;2;3;0;1;3;2;71
2;0;1;2;2;1;1;3;2;72
2;0;1;2;3;1;0;3;2;73
2;0;2;2;3;1;0;2;2;74
2;1;2;2;2;1;0;2;2;75
2;1;2;1;2;1;1;2;2;76
2;1;2;2;2;1;0;2;2;77
2;1;3;1;2;1;0;2;2;78
2;1;2;1;3;1;0;2;2;79
2;1;1;2;3;1;0;2;2;80
2;1;1;1;3;2;0;2;2;81
3;1;1;0;3;2;0;2;2;82
3;2;1;0;2;2;0;2;2;83
3;1;1;0;3;2;0;2;2;84
4;1;1;0;3;1;0;2;2;85
3;1;2;0;3;1;0;2;2;86
3;1;1;0;3;2;0;2;2;87
3;1;0;0;3;2;0;3;2;88
3;1;1;0;3;2;0;2;2;89
3;1;0;0;4;2;0;2;2;90
3;2;0;0;3;2;0;2;2;91
3;2;0;0;3;1;0;3;2;92
3;2;0;0;2;1;1;3;2;93
4;2;0;0;2;1;1;2;2;94
4;2;0;0;1;2;1;2;2;95
4;3;0;0;1;1;1;2;2;96
3;3;0;1;1;1;1;2;2;97
3;2;0;1;1;2;1;2;2;98
2;2;0;1;1;2;2;2;2;99
2;2;1;1;1;2;1;2;2;100
2;2;1;1;1;2;0;3;2;101
2;2;2;1;1;2;0;2;2;102
2;1;2;1;1;2;1;2;2;103
2;2;1;1;1;2;1;2;2;104
2;1;1;1;1;3;1;2;2;105
2;1;1;1;1;4;0;2;2;106
2;2;1;1;1;3;0;2;2;107
3;2;1;1;1;2;0;2;2;108
3;1;2;1;1;1;0;3;2;109
4;1;2;1;1;1;0;2;2;110
4;1;2;1;1;1;1;1;2;111
3;1;2;1;1;1;1;2;2;112
2;1;3;1;1;1;1;2;2;113
2;1;2;2;1;1;1;2;2;114
1;2;2;2;1;1;1;2;2;115
1;2;1;2;1;2;1;2;2;116
1;1;2;2;1;2;1;2;2;117
1;0;2;2;1;2;2;2;2;118
1;1;2;2;1;2;1;2;2;119
1;1;2;3;1;2;1;1;2;120
2;1;2;2;1;2;1;1;2;121
2;1;3;2;1;1;1;1;2;122
2;1;2;2;1;1;2;1;2;123
1;1;3;2;1;1;2;1;2;124
1;1;2;2;1;2;2;1;2;125
1;1;2;2;1;3;1;1;2;126
2;1;2;2;1;2;1;1;2;127
2;1;2;3;1;1;1;1;2;128
1;1;2;3;1;2;1;1;2;129
1;1;2;2;1;3;1;1;2;130
1;1;2;1;1;3;1;2;2;131
1;1;2;1;2;3;1;1;2;132
1;1;2;1;2;2;1;2;2;133
2;1;2;1;2;1;1;2;2;134
2;1;2;2;2;1;1;1;2;135
2;1;2;1;2;1;1;2;2;136
2;0;2;1;2;1;2;2;2;137
2;0;2;1;1;2;2;2;2;138
2;0;1;1;1;2;3;2;2;139
1;1;1;1;1;2;3;2;2;140
1;1;1;2;1;2;2;2;2;141
1;1;2;2;1;2;1;2;2;142
1;1;2;1;1;2;2;2;2;143
0;0;0;0;1;0;0;0;1;0
0;0;0;0;1;0;0;1;1;1
0;0;0;0;1;1;0;1;1;2
1;0;0;0;1;1;0;1;1;3
1;0;0;0;2;1;0;1;1;4
1;0;0;1;2;1;0;1;1;5
1;0;0;2;2;1;0;1;1;6
1;0;0;2;3;1;0;1;1;7
2;0;0;2;3;1;0;1;1;8
2;0;0;2;3;1;0;2;1;9
2;0;1;2;3;1;0;2;1;10
2;0;1;2;3;1;1;2;1;11
2;0;1;1;4;1;1;2;1;12
2;0;1;1;3;2;1;2;1;13
2;0;2;0;3;2;1;2;1;14
2;0;2;1;2;2;1;2;1;15
2;0;2;0;3;2;1;2;1;16
2;0;1;0;3;2;2;2;1;17
2;0;1;0;2;2;2;3;1;18
2;1;1;0;2;1;2;3;1;19
2;1;2;0;2;1;2;2;1;20
1;1;2;0;2;1;2;3;1;21
1;2;1;0;2;1;2;3;1;22
1;2;1;0;2;2;2;2;1;23
2;2;0;0;2;2;2;2;1;24
2;2;1;0;2;2;2;1;1;25
2;2;1;0;3;2;2;0;1;26
2;3;1;0;2;2;2;0;1;27
2;3;1;1;1;2;2;0;1;28
1;3;2;1;1;2;2;0;1;29
1;3;2;2;0;2;2;0;1;30
2;2;2;2;0;2;2;0;1;31
2;3;2;1;0;2;2;0;1;32
2;3;1;1;0;2;3;0;1;33
2;3;2;1;0;2;2;0;1;34
3;3;2;1;0;2;1;0;1;35
2;3;2;1;0;2;1;1;1;36
2;2;2;2;0;2;1;1;1;37
1;2;2;2;0;2;2;1;1;38
1;2;2;2;0;1;2;2;1;39
2;2;2;2;0;0;2;2;1;40
1;2;2;2;1;0;2;2;1;41
0;2;2;2;2;0;2;2;1;42
0;2;2;3;1;0;2;2;1;43
0;3;2;2;1;0;2;2;1;44
0;3;2;1;1;0;2;3;1;45
1;3;2;1;0;0;2;3;1;46
1;3;3;1;0;0;2;2;1;47
1;2;4;1;0;0;2;2;1;48
1;1;4;1;1;0;2;2;1;49
1;1;3;1;2;0;2;2;1;50
1;1;2;2;2;0;2;2;1;51
1;1;2;2;1;1;2;2;1;52
1;1;2;1;2;1;2;2;1;53
1;1;2;1;1;1;2;3;1;54
1;1;1;2;1;1;2;3;1;55
1;1;1;1;1;1;2;4;1;56
1;2;1;1;1;1;2;3;1;57
1;2;1;0;1;1;2;4;1;58
1;2;1;1;1;1;2;3;1;59
1;2;1;1;1;1;3;2;1;60
1;3;1;0;1;1;3;2;1;61
1;3;1;0;1;1;2;3;1;62
1;3;1;0;2;1;1;3;1;63
1;4;1;0;2;1;1;2;1;64
1;3;1;1;2;1;1;2;1;65
1;4;1;0;2;1;1;2;1;66
1;3;1;0;3;1;1;2;1;67
1;2;2;0;3;1;1;2;1;68
2;2;2;0;3;1;1;1;1;69
3;2;1;0;3;1;1;1;1;70
2;2;2;0;3;1;1;1;1;71
3;2;2;0;2;1;1;1;1;72
3;1;2;0;2;2;1;1;1;73
2;1;2;0;3;2;1;1;1;74
1;1;3;0;3;2;1;1;1;75
1;2;2;0;3;2;1;1;1;76
1;2;2;0;2;2;1;2;1;77
1;1;2;1;2;2;1;2;1;78
1;1;1;1;2;2;1;3;1;79
1;1;1;1;2;3;1;2;1;80
1;1;1;1;3;3;1;1;1;81
1;1;1;1;3;2;2;1;1;82
1;1;2;1;3;1;2;1;1;83
1;1;1;1;3;1;3;1;1;84
1;1;2;1;2;1;3;1;1;85
1;2;2;1;2;1;2;1;1;86
2;2;2;0;2;1;2;1;1;87
2;2;2;1;2;1;1;1;1;88
2;3;2;1;1;1;1;1;1;89
2;3;1;1;1;2;1;1;1;90
1;3;1;1;1;2;1;2;1;91
1;2;1;1;2;2;1;2;1;92
1;3;1;1;2;1;1;2;1;93
1;3;2;1;2;1;1;1;1;94
2;3;1;1;2;1;1;1;1;95
2;2;1;1;2;1;1;2;1;96
2;2;1;0;3;1;1;2;1;97
2;1;1;0;3;2;1;2;1;98
2;1;2;0;3;2;1;1;1;99
2;2;2;0;2;2;1;1;1;100
2;2;2;0;1;3;1;1;1;101
1;2;2;1;1;3;1;1;1;102
1;2;3;1;1;2;1;1;1;103
2;2;3;0;1;2;1;1;1;104
2;1;3;0;2;2;1;1;1;105
2;1;2;0;2;3;1;1;1;106
2;1;2;0;2;2;1;2;1;107
2;1;2;1;1;2;1;2;1;108
2;1;1;1;1;2;1;3;1;109
2;2;1;1;1;2;1;2;1;110
2;2;1;1;1;2;1;2;1;111
1;2;1;1;1;2;1;3;1;112
2;2;1;1;1;2;1;2;1;113
2;3;1;1;1;1;1;2;1;114
2;3;1;1;0;1;1;3;1;115
2;2;2;1;0;1;1;3;1;116
2;2;2;1;0;1;2;2;1;117
2;1;3;1;0;1;2;2;1;118
2;1;4;1;0;1;1;2;1;119
3;1;4;0;0;1;1;2;1;120
2;1;5;0;0;1;1;2;1;121
2;2;4;0;0;1;1;2;1;122
2;2;3;0;0;1;2;2;1;123
2;2;2;0;0;1;3;2;1;124
2;2;1;0;0;2;3;2;1;125
3;1;1;0;0;2;3;2;1;126
3;0;1;0;0;3;3;2;1;127