,Round,Player,Dice Roll,Presents,Stolen From,Retaliation Player 1,Retaliation Player 2,Retaliation Player 3,Retaliation Player 4,Retaliation Player 5,Retaliation Player 6,Presents Count
13,2,Player 2,6,"[6, 5, 0]",Player 3,0,0,0,0,0,0,9
15,2,Player 4,6,"[4, 2]",None,0,0,0,0,0,0,6
19,3,Player 2,6,"[6, 5, 0, 8]",Player 3,0,0,0,0,0,0,12
21,3,Player 4,6,"[4, 2]",None,0,0,0,0,0,0,6
27,4,Player 4,6,"[4, 2]",None,0,0,0,0,0,0,6
35,5,Player 6,6,"[9, 5]",Player 2,0,0,0,0,0,0,6
41,6,Player 6,6,"[9, 5, 8]",Player 2,0,0,0,0,0,0,9
44,7,Player 3,6,[],None,0,0,0,0,0,0,2
45,7,Player 4,6,"[4, 2]",None,0,0,0,0,0,0,6
47,7,Player 6,6,"[9, 5, 8]",None,0,0,0,0,0,0,9
56,9,Player 3,6,[],None,0,0,0,0,0,0,2
57,9,Player 4,6,"[4, 2]",None,0,0,0,0,0,0,6
59,9,Player 6,6,"[9, 5, 8, 2]",Player 4,0,0,0,0,0,0,12
67,11,Player 2,6,"[6, 0]",None,0,0,0,0,0,0,6
69,11,Player 4,6,"[4, 6]",Player 2,0,0,0,0,0,0,6
72,12,Player 1,6,"[7, 1]",None,0,0,0,0,0,0,6
73,12,Player 2,6,"[0, 3]",Player 5,0,0,0,1,0,0,6
81,13,Player 4,6,"[4, 6]",None,0,0,0,0,0,0,6
82,13,Player 5,6,[],None,0,0,0,0,0,0,2
91,15,Player 2,6,"[0, 3, 9]",Player 6,0,0,0,0,0,0,9
95,15,Player 6,6,"[5, 8, 2]",None,0,1,0,0,0,0,9
99,16,Player 4,6,"[4, 6]",None,0,0,0,0,0,0,6
101,16,Player 6,6,"[5, 8, 2, 3]",Player 2,0,0,0,0,0,0,12
102,17,Player 1,6,"[7, 1]",None,0,0,0,0,0,0,6
108,18,Player 1,6,"[7, 1]",None,0,0,0,0,0,0,6
110,18,Player 3,6,[],None,0,0,0,0,0,0,2
121,20,Player 2,6,"[0, 9]",None,0,0,0,0,0,0,6
130,21,Player 5,6,[],None,0,0,0,0,0,0,2
139,23,Player 2,6,"[0, 9, 7]",Player 1,0,0,0,0,0,0,9
149,24,Player 6,6,"[5, 8, 2, 3]",None,0,0,0,0,0,0,12
150,25,Player 1,6,[1],None,0,0,0,0,0,0,3
152,25,Player 3,6,[],None,0,0,0,0,0,0,2
155,25,Player 6,6,"[5, 8, 2, 3]",None,0,0,0,0,0,0,12
156,26,Player 1,6,[1],None,0,0,0,0,0,0,3
171,28,Player 4,6,"[4, 6, 1]",Player 1,0,0,0,0,0,0,9
179,29,Player 6,6,"[5, 8, 2, 3, 7]",Player 2,0,0,0,0,0,0,15
181,30,Player 2,6,"[0, 9]",None,0,0,0,0,0,1,6
185,30,Player 6,6,"[5, 8, 2, 3, 7]",None,0,0,0,0,0,0,15
195,32,Player 4,6,"[4, 6, 1]",None,0,0,0,0,0,0,9
207,34,Player 4,6,"[4, 6, 1]",None,0,0,0,0,0,0,9
209,34,Player 6,6,"[5, 8, 2, 3, 7]",None,0,0,0,0,0,0,15
210,35,Player 1,6,[],None,0,0,0,0,0,0,2
216,36,Player 1,6,[],None,0,0,0,0,0,0,2
224,37,Player 3,6,[],None,0,0,0,0,0,0,2
232,38,Player 5,6,[],None,0,0,0,0,0,0,2
239,39,Player 6,6,"[5, 8, 2, 3, 7]",None,0,0,0,0,0,0,15
241,40,Player 2,6,"[0, 9]",None,0,0,0,0,0,0,6
242,40,Player 3,6,[],None,0,0,0,0,0,0,2
252,42,Player 1,6,[0],Player 2,0,0,0,0,0,0,3
254,42,Player 3,6,[],None,0,0,0,0,0,0,2
261,43,Player 4,6,"[4, 6, 1, 0]",Player 1,0,0,0,0,0,0,12
263,43,Player 6,6,"[5, 8, 2, 3, 7]",None,0,0,0,0,0,0,15
267,44,Player 4,6,"[4, 6, 1, 0]",None,0,0,0,0,0,0,12
274,45,Player 5,6,[2],Player 6,0,0,0,0,0,0,3
278,46,Player 3,6,[],None,0,0,0,0,0,0,2
281,46,Player 6,6,"[5, 8, 3, 7]",None,0,0,0,0,0,0,12
297,49,Player 4,6,"[4, 6, 1, 0]",None,0,0,0,0,0,0,12
298,49,Player 5,6,[2],None,0,0,0,0,0,0,3
303,50,Player 4,6,"[4, 6, 1, 0]",None,0,0,0,0,0,0,12
312,52,Player 1,6,[2],Player 5,0,0,0,0,0,0,3
325,54,Player 2,6,"[9, 4]",Player 4,0,0,0,0,0,0,6
327,54,Player 4,6,"[6, 1, 0, 7]",Player 6,0,1,0,0,0,0,12
335,55,Player 6,6,"[5, 8, 3]",None,0,0,0,0,0,0,9
337,56,Player 2,6,"[9, 4, 3]",Player 6,0,0,0,0,0,0,9
340,56,Player 5,6,[],None,0,0,0,0,0,0,2
347,57,Player 6,6,"[5, 8]",None,0,0,0,0,0,0,6
348,58,Player 1,6,"[2, 6]",Player 4,0,0,0,0,0,0,6
349,58,Player 2,6,"[9, 4, 3, 8]",Player 6,0,0,0,0,0,0,12
350,58,Player 3,6,[],None,0,0,0,0,0,0,2
366,61,Player 1,6,"[2, 6, 1]",Player 4,0,0,0,0,0,0,9
369,61,Player 4,6,"[0, 7]",None,1,0,0,0,0,0,6
373,62,Player 2,6,"[9, 4, 3, 8]",None,0,0,0,0,0,0,12
380,63,Player 3,6,[],None,0,0,0,0,0,0,2
388,64,Player 5,6,[],None,0,0,0,0,0,0,2
392,65,Player 3,6,[],None,0,0,0,0,0,0,2
395,65,Player 6,6,[5],None,0,0,0,0,0,0,3
399,66,Player 4,6,"[0, 7, 1]",Player 1,0,0,0,0,0,0,9
401,66,Player 6,6,"[5, 8]",Player 2,0,0,0,0,0,0,6
408,68,Player 1,6,"[2, 6]",None,0,0,0,0,0,0,6
415,69,Player 2,6,"[9, 4, 3, 2]",Player 1,0,0,0,0,0,0,12
416,69,Player 3,6,[],None,0,0,0,0,0,0,2
423,70,Player 4,6,"[0, 7, 1]",None,0,0,0,0,0,0,9
433,72,Player 2,6,"[9, 4, 3, 2, 7]",Player 4,0,0,0,0,0,0,15
435,72,Player 4,6,"[0, 1]",None,0,1,0,0,0,0,6
455,75,Player 6,6,"[5, 8, 3]",Player 2,0,0,0,0,0,0,9
463,77,Player 2,6,"[9, 4, 2, 7, 6]",Player 1,0,0,0,0,0,0,15
465,77,Player 4,6,"[0, 1]",None,0,0,0,0,0,0,6
472,78,Player 5,6,[],None,0,0,0,0,0,0,2
476,79,Player 3,6,[],None,0,0,0,0,0,0,2
490,81,Player 5,6,[],None,0,0,0,0,0,0,2
493,82,Player 2,6,"[9, 4, 2, 7, 6]",None,0,0,0,0,0,0,15
495,82,Player 4,6,"[0, 1]",None,0,0,0,0,0,0,6
497,82,Player 6,6,"[5, 8, 3]",None,0,0,0,0,0,0,9
498,83,Player 1,6,[7],Player 2,0,0,0,0,0,0,3
502,83,Player 5,6,[],None,0,0,0,0,0,0,2
